Background,Item,Description
Entertainer,Ideal,"Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are. (Lawful)"
Entertainer,Ideal,Creativity. The world is in need of new ideas and bold action. (Chaotic)
Entertainer,Ideal,Greed. I'm only in it for the money and fame. (Evil)
Entertainer,Ideal,People. I like seeing the smiles on people's faces when I perform. That's all that matters. (Neutral)
Entertainer,Ideal,Honesty. Art should reflect the soul; it should come from within and reveal who we really are. (Any)
Entertainer,Bond,"My instrument is my most treasured possession, and it reminds me of someone I love."
Entertainer,Bond,"Someone stole my precious instrument, and someday I'll get it back."
Entertainer,Bond,"I want to be famous, whatever it takes."
Entertainer,Bond,I idolize a hero of the old tales and measure my deeds against that person's.
Entertainer,Bond,I will do anything to prove myself superior to my hated rival.
Entertainer,Bond,I would do anything for the other members of my old troupe.
Entertainer,Flaw,I'll do anything to win fame and renown.
Entertainer,Flaw,I'm a sucker for a pretty face.
Entertainer,Flaw,A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.
Entertainer,Flaw,I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.
Entertainer,Flaw,I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.
Entertainer,Flaw,"Despite my best efforts, I am unreliable to my friends."
Folk Hero,Defining event,I stood up to a tyrant's agents.
Folk Hero,Defining event,I saved people during a natural disaster.
Folk Hero,Defining event,I stood alone against a terrible monster.
Folk Hero,Defining event,I stole from a corrupt merchant to help the poor.
Folk Hero,Defining event,I led a militia to fight of an invading army.
Folk Hero,Defining event,I broke into a tyrant's castle and stole weapons to arm the people.
Folk Hero,Defining event,I trained the peasantry to use farming implements as weapons against a tyrant's soldiers.
Folk Hero,Defining event,A lord rescinded an unpopular decree after I led a symbolic act of protest against it.
Folk Hero,Defining event,"A celestial, fey, or similar creature gave me a blessing or revealed my secret origin."
Folk Hero,Defining event,"Recruited into a lord's army, I rose to leadership and was commended for my heroism."
Folk Hero,Trait,"I judge people by their actions, not their words."
Folk Hero,Trait,"If someone is in trouble, I'm always ready to lend help."
Folk Hero,Trait,"When I set my mind to something, I follow through no matter what gets in my way."
Folk Hero,Trait,I have a strong sense of fair play and always try to find the most equitable solution to arguments.
Folk Hero,Trait,I'm confident in my own abilities and do what I can to instill confidence in others.
Folk Hero,Trait,Thinking is for other people. I prefer action.
Folk Hero,Trait,I misuse long words in an attempt to sound smarter.
Folk Hero,Trait,I get bored easily. When am I going to get on with my destiny?
Folk Hero,Ideal,Respect. People deserve to be treated with dignity and respect. (Good)
Folk Hero,Ideal,"Fairness. No one should get preferential treatment before the law, and no one is above the law. (Lawful)"
Folk Hero,Ideal,Freedom. Tyrants must not be allowed to oppress the people. (Chaotic)
Folk Hero,Ideal,"Might. If I become strong, I can take what I want-what I deserve. (Evil)"
Folk Hero,Ideal,Sincerity. There's no good in pretending to be something I'm not. (Neutral)
Folk Hero,Ideal,Destiny. Nothing and no one can steer me away from my higher calling. (Any)
Folk Hero,Bond,"I have a family, but I have no idea where they are. One day, I hope to see them again."
Folk Hero,Bond,"I worked the land, I love the land, and I will protect the land."
Folk Hero,Bond,"A proud noble once gave me a horrible beating, and I will take my revenge on any bully I encounter."
Folk Hero,Bond,"My tools are symbols of my past life, and I carry them so that I will never forget my roots."
Folk Hero,Bond,I protect those who cannot protect themselves.
Folk Hero,Bond,I wish my childhood sweetheart had come with me to pursue my destiny.
Folk Hero,Flaw,The tyrant who rules my land will stop at nothing to see me killed.
Folk Hero,Flaw,"I'm convinced of the significance of my destiny, and blind to my shortcomings and the risk of failure."
Folk Hero,Flaw,"The people who knew me when I was young know my shameful secret, so I can never go home again."
Folk Hero,Flaw,"I have a weakness for the vices of the city, especially hard drink."
Folk Hero,Flaw,"Secretly, I believe that things would be better if I were a tyrant lording over the land."
Folk Hero,Flaw,I have trouble trusting in my allies.
Gladiator,Routine,Actor
Gladiator,Routine,Dancer
Gladiator,Routine,Fire-eater
Gladiator,Routine,Jester
Gladiator,Routine,Juggler
Gladiator,Routine,Instrumentalist
Gladiator,Routine,Poet
Gladiator,Routine,Singer
Gladiator,Routine,Storyteller
Gladiator,Routine,Tumbler
Gladiator,Trait,I know a story relevant to almost every situation.
Gladiator,Trait,"Whenever I come to a new place, I collect local rumors and spread gossip."
Gladiator,Trait,"I'm a hopeless romantic, always searching for that ""special someone""."
Gladiator,Trait,"Nobody stays angry at me or around me for long, since I can defuse any amount of tension."
Gladiator,Trait,"I love a good insult, even one directed at me."
Gladiator,Trait,I get bitter if I'm not the center of attention.
Gladiator,Trait,I'll settle for nothing less than perfection.
Gladiator,Trait,I change my mood or my mind as quickly as I change key in a song.
Gladiator,Ideal,"Beauty. When I perform, I make the world better than it was. (Good)"
Gladiator,Ideal,"Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are. (Lawful)"
Gladiator,Ideal,Creativity. The world is in need of new ideas and bold action. (Chaotic)
Gladiator,Ideal,Greed. I'm only in it for the money and fame. (Evil)
Gladiator,Ideal,People. I like seeing the smiles on people's faces when I perform. That's all that matters. (Neutral)
Gladiator,Ideal,Honesty. Art should reflect the soul; it should come from within and reveal who we really are. (Any)
Gladiator,Bond,"My instrument is my most treasured possession, and it reminds me of someone I love."
Gladiator,Bond,"Someone stole my precious instrument, and someday I'll get it back."
Gladiator,Bond,"I want to be famous, whatever it takes."
Gladiator,Bond,I idolize a hero of the old tales and measure my deeds against that person's.
Gladiator,Bond,I will do anything to prove myself superior to my hated rival.
Gladiator,Bond,I would do anything for the other members of my old troupe.
Gladiator,Flaw,I'll do anything to win fame and renown.
Gladiator,Flaw,I'm a sucker for a pretty face.
Gladiator,Flaw,A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.
Gladiator,Flaw,I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.
Gladiator,Flaw,I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.
Gladiator,Flaw,"Despite my best efforts, I am unreliable to my friends."
Guild Artisan,Guild business,Alchemists and apothecaries
Guild Artisan,Guild business,"Armorers, locksmiths, and finesmiths"
Guild Artisan,Guild business,"Brewers, distillers, and vintners"
Guild Artisan,Guild business,"Calligraphers, scribes, and scriveners"
Guild Artisan,Guild business,"Carpenters, roofers, and plasterers"
Guild Artisan,Guild business,"Cartographers, surveyors, and chart-makers"
Guild Artisan,Guild business,Cobblers and shoemakers
Guild Artisan,Guild business,Cooks and bakers
Guild Artisan,Guild business,Glassblowers and glaziers
Guild Artisan,Guild business,Jewelers and gemcutters
Guild Artisan,Guild business,"Leatherworkers, skinners, and tanners"
Guild Artisan,Guild business,Masons and stonecutters
Guild Artisan,Guild business,"Painters, limners, and sign-makers"
Guild Artisan,Guild business,Potters and tile-makers
Guild Artisan,Guild business,Shipwrights and sail-makers
Guild Artisan,Guild business,Smiths and metal-forgers
Guild Artisan,Guild business,"Tinkers, pewterers, and casters"
Guild Artisan,Guild business,Wagon-makers and wheelwrights
Guild Artisan,Guild business,Weavers and dyers
Guild Artisan,Guild business,"Woodcarvers, coopers, and bowyers"
Guild Artisan,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.
Guild Artisan,Trait,I'm a snob who looks down on those who can't appreciate fine art.
Guild Artisan,Trait,I always want to know how things work and what makes people tick.
Guild Artisan,Trait,I'm full of witty aphorisms and have a proverb for every occasion.
Guild Artisan,Trait,I'm rude to people who lack my commitment to hard work and fair play.
Guild Artisan,Trait,I like to talk at length about my profession.
Guild Artisan,Trait,I don't part with my money easily and will haggle tirelessly to get the best deal possible.
Guild Artisan,Trait,"I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me."
Guild Artisan,Ideal,Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful)
Guild Artisan,Ideal,Generosity. My talents were given to me so that I could use them to benefit the world. (Good)
Guild Artisan,Ideal,Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic)
Guild Artisan,Ideal,Greed. I'm only in it for the money. (Evil)
Guild Artisan,Ideal,"People. I'm committed to the people I care about, not to ideals. (Neutral)"
Guild Artisan,Ideal,Aspiration. I work hard to be the best there is at my craft. (Any)
Guild Artisan,Bond,The workshop where I learned my trade is the most important place in the world to me.
Guild Artisan,Bond,"I created a great work for someone, and then found them unworthy to receive it. I'm still looking for someone worthy."
Guild Artisan,Bond,I owe my guild a great debt for forging me into the person I am today.
Guild Artisan,Bond,I pursue wealth to secure someone's love.
Guild Artisan,Bond,One day I will return to my guild and prove that I am the greatest artisan of them all.
Guild Artisan,Bond,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.
Guild Artisan,Flaw,I'll do anything to get my hands on something rare or priceless.
Guild Artisan,Flaw,I'm quick to assume that someone is trying to cheat me.
Guild Artisan,Flaw,No one must ever learn that I once stole money from guild coffers.
Guild Artisan,Flaw,I'm never satisfied with what I have-I always want more.
Guild Artisan,Flaw,I would kill to acquire a noble title.
Guild Artisan,Flaw,"I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals."
Guild Merchant,Guild business,Alchemists and apothecaries
Guild Merchant,Guild business,"Armorers, locksmiths, and finesmiths"
Guild Merchant,Guild business,"Brewers, distillers, and vintners"
Guild Merchant,Guild business,"Calligraphers, scribes, and scriveners"
Guild Merchant,Guild business,"Carpenters, roofers, and plasterers"
Guild Merchant,Guild business,"Cartographers, surveyors, and chart-makers"
Guild Merchant,Guild business,Cobblers and shoemakers
Guild Merchant,Guild business,Cooks and bakers
Guild Merchant,Guild business,Glassblowers and glaziers
Guild Merchant,Guild business,Jewelers and gemcutters
Guild Merchant,Guild business,"Leatherworkers, skinners, and tanners"
Guild Merchant,Guild business,Masons and stonecutters
Guild Merchant,Guild business,"Painters, limners, and sign-makers"
Guild Merchant,Guild business,Potters and tile-makers
Guild Merchant,Guild business,Shipwrights and sail-makers
Guild Merchant,Guild business,Smiths and metal-forgers
Guild Merchant,Guild business,"Tinkers, pewterers, and casters"
Guild Merchant,Guild business,Wagon-makers and wheelwrights
Guild Merchant,Guild business,Weavers and dyers
Guild Merchant,Guild business,"Woodcarvers, coopers, and bowyers"
Guild Merchant,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.
Guild Merchant,Trait,I'm a snob who looks down on those who can't appreciate fine art.
Guild Merchant,Trait,I always want to know how things work and what makes people tick.
Guild Merchant,Trait,I'm full of witty aphorisms and have a proverb for every occasion.
Guild Merchant,Trait,I'm rude to people who lack my commitment to hard work and fair play.
Guild Merchant,Trait,I like to talk at length about my profession.
Guild Merchant,Trait,I don't part with my money easily and will haggle tirelessly to get the best deal possible.
Guild Merchant,Trait,"I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me."
Guild Merchant,Ideal,Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful)
Guild Merchant,Ideal,Generosity. My talents were given to me so that I could use them to benefit the world. (Good)
Guild Merchant,Ideal,Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic)
Guild Merchant,Ideal,Greed. I'm only in it for the money. (Evil)
Guild Merchant,Ideal,"People. I'm committed to the people I care about, not to ideals. (Neutral)"
Guild Merchant,Ideal,Aspiration. I work hard to be the best there is at my craft. (Any)
Guild Merchant,Bond,The workshop where I learned my trade is the most important place in the world to me.
Guild Merchant,Bond,"I created a great work for someone, and then found them unworthy to receive it. I'm still looking for someone worthy."
Guild Merchant,Bond,I owe my guild a great debt for forging me into the person I am today.
Guild Merchant,Bond,I pursue wealth to secure someone's love.
Guild Merchant,Bond,One day I will return to my guild and prove that I am the greatest artisan of them all.
Guild Merchant,Bond,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.
Guild Merchant,Flaw,I'll do anything to get my hands on something rare or priceless.
Guild Merchant,Flaw,I'm quick to assume that someone is trying to cheat me.
Guild Merchant,Flaw,No one must ever learn that I once stole money from guild coffers.
Guild Merchant,Flaw,I'm never satisfied with what I have-I always want more.
Guild Merchant,Flaw,I would kill to acquire a noble title.
Guild Merchant,Flaw,"I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals."
Hermit,Life of seclusion,I was searching for spiritual enlightenment.
Hermit,Life of seclusion,I was partaking of communal living in accordance with the dictates of a religious order.
Hermit,Life of seclusion,I was exiled for a crime I didn't commit.
Hermit,Life of seclusion,I retreated from society after a life-altering event.
Hermit,Life of seclusion,"I needed a quiet place to work on my art, literature, music, or manifesto."
Hermit,Life of seclusion,"I needed to commune with nature, far from civilization."
Hermit,Life of seclusion,I was the caretaker of an ancient ruin or relic.
Hermit,Life of seclusion,"I was a pilgrim in search of a person, place, or relic of spiritual significance."
Hermit,Trait,"I've been isolated for so long that I rarely speak, preferring gestures and the occasional grunt."
Hermit,Trait,"I am utterly serene, even in the face of disaster."
Hermit,Trait,"The leader of my community had something wise to say on every topic, and I am eager to share that wisdom."
Hermit,Trait,I feel tremendous empathy for all who suffer.
Hermit,Trait,I'm oblivious to etiquette and social expectations.
Hermit,Trait,"I connect everything that happens to me to a grand, cosmic plan."
Hermit,Trait,"I often get lost in my own thoughts and contemplation, becoming oblivious to my surroundings."
Hermit,Trait,I am working on a grand philosophical theory and love sharing my ideas.
Hermit,Ideal,"Greater Good. My gifts are meant to be shared with all, not used for my own benefit. (Good)"
Hermit,Ideal,"Logic. Emotions must not cloud our sense of what is right and true, or our logical thinking. (Lawful)"
Hermit,Ideal,Free Thinking. Inquiry and curiosity are the pillars of progress. (Chaotic)
Hermit,Ideal,Power. Solitude and contemplation are paths toward mystical or magical power. (Evil)
Hermit,Ideal,Live and Let Live. Meddling in the affairs of others only causes trouble. (Neutral)
Hermit,Ideal,"Self-Knowledge. If you know yourself, there's nothing left to know. (Any)"
Hermit,Bond,"Nothing is more important than the other members of my hermitage, order, or association."
Hermit,Bond,I entered seclusion to hide from the ones who might still be hunting me. I must someday confront them.
Hermit,Bond,"I'm still seeking the enlightenment I pursued in my seclusion, and it still eludes me."
Hermit,Bond,I entered seclusion because I loved someone I could not have.
Hermit,Bond,"Should my discovery come to light, it could bring ruin to the world."
Hermit,Bond,My isolation gave me great insight into a great evil that only I can destroy.
Hermit,Flaw,"Now that I've returned to the world, I enjoy its delights a little too much."
Hermit,Flaw,"I harbor dark, bloodthirsty thoughts that my isolation and meditation failed to quell."
Hermit,Flaw,I am dogmatic in my thoughts and philosophy.
Hermit,Flaw,I let my need to win arguments overshadow friendships and harmony.
Hermit,Flaw,I'd risk too much to uncover a lost bit of knowledge.
Hermit,Flaw,I like keeping secrets and won't share them with anyone.
Knight,Trait,My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.
Knight,Trait,The common folk love me for my kindness and generosity.
Knight,Trait,No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.
Knight,Trait,I take great pains to always look my best and follow the latest fashions.
Knight,Trait,"I don't like to get my hands dirty, and I won't be caught dead in unsuitable accommodations."
Knight,Trait,"Despite my noble birth, I do not place myself above other folk. We all have the same blood."
Knight,Trait,"My favor, once lost, is lost forever."
Knight,Trait,"If you do me an injury, I will crush you, ruin your name, and salt your fields."
Knight,Ideal,"Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. (Good)"
Knight,Ideal,"Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. (Lawful)"
Knight,Ideal,Independence. I must prove that I can handle myself without coddling from my family. (Chaotic)
Knight,Ideal,"Power. If I can attain more power, no one will tell me what to do. (Evil)"
Knight,Ideal,Family. Blood runs thicker than water. (Any)
Knight,Ideal,Noble Obligation. It is my duty to protect and care for the people beneath me. (Good)
Knight,Bond,I will face any challenge to win the approval of my family.
Knight,Bond,My house's alliance with another noble family must be sustained at all costs.
Knight,Bond,Nothing is more important than the other members of my family.
Knight,Bond,I am in love with the heir of a family that my family despises.
Knight,Bond,My loyalty to my sovereign is unwavering.
Knight,Bond,The common folk must see me as a hero of the people.
Knight,Flaw,I secretly believe that everyone is beneath me.
Knight,Flaw,I hide a truly scandalous secret that could ruin my family forever.
Knight,Flaw,"I too often hear veiled insults and threats in every word addressed to me, and I'm quick to anger."
Knight,Flaw,I have an insatiable desire for carnal pleasures.
Knight,Flaw,"In fact, the world does revolve around me."
Knight,Flaw,"By my words and actions, I often bring shame to my family."
Noble,Trait,My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.
Noble,Trait,The common folk love me for my kindness and generosity.
Noble,Trait,No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.
Noble,Trait,I take great pains to always look my best and follow the latest fashions.
Noble,Trait,"I don't like to get my hands dirty, and I won't be caught dead in unsuitable accommodations."
Noble,Trait,"Despite my noble birth, I do not place myself above other folk. We all have the same blood."
Noble,Trait,"My favor, once lost, is lost forever."
Noble,Trait,"If you do me an injury, I will crush you, ruin your name, and salt your fields."
Noble,Ideal,"Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. (Good)"
Noble,Ideal,"Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. (Lawful)"
Noble,Ideal,Independence. I must prove that I can handle myself without coddling from my family. (Chaotic)
Noble,Ideal,"Power. If I can attain more power, no one will tell me what to do. (Evil)"
Noble,Ideal,Family. Blood runs thicker than water. (Any)
Noble,Ideal,Noble Obligation. It is my duty to protect and care for the people beneath me. (Good)
Noble,Bond,I will face any challenge to win the approval of my family.
Noble,Bond,My house's alliance with another noble family must be sustained at all costs.
Noble,Bond,Nothing is more important than the other members of my family.
Noble,Bond,I am in love with the heir of a family that my family despises.
Noble,Bond,My loyalty to my sovereign is unwavering.
Noble,Bond,The common folk must see me as a hero of the people.
Noble,Flaw,I secretly believe that everyone is beneath me.
Noble,Flaw,I hide a truly scandalous secret that could ruin my family forever.
Noble,Flaw,"I too often hear veiled insults and threats in every word addressed to me, and I'm quick to anger."
Noble,Flaw,I have an insatiable desire for carnal pleasures.
Noble,Flaw,"In fact, the world does revolve around me."
Noble,Flaw,"By my words and actions, I often bring shame to my family."
Outlander,Origin,Forester
Outlander,Origin,Trapper
Outlander,Origin,Homesteader
Outlander,Origin,Guide
Outlander,Origin,Exile or outcast
Outlander,Origin,Bounty hunter
Outlander,Origin,Pilgrim
Outlander,Origin,Tribal nomad
Outlander,Origin,Hunter-gatherer
Outlander,Origin,Tribal marauder
Outlander,Trait,I'm driven by a wanderlust that led me away from home.
Outlander,Trait,I watch over my friends as if they were a litter of newborn pups.
Outlander,Trait,I once ran twenty-five miles without stopping to warn to my clan of an approaching orc horde. I'd do it again if I had to.
Outlander,Trait,"I have a lesson for every situation, drawn from observing nature."
Outlander,Trait,I place no stock in wealthy or well-mannered folk. Money and manners won't save you from a hungry owlbear.
Outlander,Trait,"I'm always picking things up, absently fiddling with them, and sometimes accidentally breaking them."
Outlander,Trait,I feel far more comfortable around animals than people.
Outlander,Trait,"I was, in fact, raised by wolves."
Outlander,Ideal,"Change. Life is like the seasons, in constant change, and we must change with it. (Chaotic)"
Outlander,Ideal,Greater Good. It is each person's responsibility to make the most happiness for the whole tribe. (Good)
Outlander,Ideal,"Honor. If I dishonor myself, I dishonor my whole clan. (Lawful)"
Outlander,Ideal,Might. The strongest are meant to rule. (Evil)
Outlander,Ideal,Nature. The natural world is more important than all the constructs of civilization. (Neutral)
Outlander,Ideal,"Glory. I must earn glory in battle, for myself and my clan. (Any)"
Outlander,Bond,"My family, clan, or tribe is the most important thing in my life, even when they are far from me."
Outlander,Bond,An injury to the unspoiled wilderness of my home is an injury to me.
Outlander,Bond,I will bring terrible wrath down on the evildoers who destroyed my homeland.
Outlander,Bond,"I am the last of my tribe, and it is up to me to ensure their names enter legend."
Outlander,Bond,I suffer awful visions of a coming disaster and will do anything to prevent it.
Outlander,Bond,It is my duty to provide children to sustain my tribe.
Outlander,Flaw,"I am too enamored of ale, wine, and other intoxicants."
Outlander,Flaw,There's no room for caution in a life lived to the fullest.
Outlander,Flaw,I remember every insult I've received and nurse a silent resentment toward anyone who's ever wronged me.
Outlander,Flaw,"I am slow to trust members of other races, tribes, and societies."
Outlander,Flaw,Violence is my answer to almost any challenge.
Outlander,Flaw,Don't expect me to save those who can't save themselves. It is nature's way that the strong thrive and the weak perish.
Pirate,Trait,"My friends know they can rely on me, no matter what."
Pirate,Trait,I work hard so that I can play hard when the work is done.
Pirate,Trait,I enjoy sailing into new ports and making new friends over a flagon of ale.
Pirate,Trait,I stretch the truth for the sake of a good story.
Pirate,Trait,"To me, a tavern brawl is a nice way to get to know a new city."
Pirate,Trait,I never pass up a friendly wager.
Pirate,Trait,My language is as foul as an otyugh nest.
